Year,GDP Nominal (Current USD),"GDP Real (Constant, Inflation Adjusted)",Pop. Change
2025,"$39,56,06,71,15,772.00","$36,93,97,09,92,046.00",0.89%
2024,"$37,60,81,34,70,501.00","$34,34,12,25,52,915.00",0.89%
2023,"$35,00,90,60,30,645.00","$32,06,48,52,23,026.00",0.89%
2022,"$32,49,93,84,92,013.00","$29,90,83,90,11,962.00",0.79%
2021,"$31,67,27,06,23,260.00","$27,79,34,82,58,938.00",0.83%
2020,"$26,74,85,15,78,587.00","$25,33,83,04,17,086.00",0.98%
2019,"$28,35,60,62,56,558.00","$26,89,20,52,95,885.00",1.05%
2018,"$27,02,92,96,41,649.00","$25,88,97,47,70,244.00",1.1%
2017,"$26,51,47,42,62,755.00","$24,32,01,60,68,498.00",1.17%
2016,"$22,94,79,68,85,663.00","$22,77,26,70,41,550.00",1.2%
2015,"$21,03,58,83,60,045.00","$21,03,58,83,60,045.00",1.2%
2014,"$20,39,12,64,79,155.00","$19,47,83,45,64,910.00",1.27%
2013,"$18,56,72,15,07,622.00","$18,13,45,35,30,766.00",1.34%
2012,"$18,27,63,75,90,410.00","$17,04,59,62,03,504.00",1.38%
2011,"$18,23,05,18,29,895.00","$16,16,39,91,98,834.00",1.43%
2010,"$16,75,61,55,19,485.00","$15,35,89,79,31,720.00",1.47%
2009,"$13,41,88,80,16,995.00","$14,15,60,56,43,151.00",1.46%
2008,"$11,98,89,51,39,006.00","$13,12,42,43,03,400.00",1.45%
2007,"$12,16,73,64,38,835.00","$12,73,12,67,25,470.00",1.52%
2006,"$9,40,25,98,88,788.00","$11,82,53,49,12,726.00",1.58%
2005,"$8,20,38,37,63,511.00","$10,94,32,43,53,138.00",1.64%
2004,"$7,09,15,27,28,831.00","$10,13,98,21,78,696.00",1.72%
2003,"$6,07,70,06,87,237.00","$9,39,54,27,98,332.00",1.75%
2002,"$5,14,93,91,40,319.00","$8,71,07,31,27,574.00",1.83%
2001,"$4,85,44,01,39,204.00","$8,39,15,19,92,858.00",1.89%
2000,"$4,68,39,55,21,654.00","$8,00,53,44,79,630.00",1.9%
1999,"$4,58,82,10,52,616.00","$7,70,92,33,80,749.00",1.92%
1998,"$4,21,35,13,17,225.00","$7,08,27,14,22,045.00",1.95%
1997,"$4,15,86,75,63,593.00","$6,67,02,01,23,971.00",1.99%
1996,"$3,92,89,68,66,205.00","$6,41,05,84,06,951.00",2.02%
1995,"$3,60,28,19,09,643.00","$5,96,05,88,14,160.00",2.03%
1994,"$3,27,27,48,43,459.00","$5,54,08,93,60,743.00",2.07%
1993,"$2,79,29,56,48,983.00","$5,19,49,64,84,319.00",2.12%
1992,"$2,88,20,80,70,278.00","$4,95,93,56,89,517.00",2.15%
1991,"$2,70,10,53,41,879.00","$4,70,15,96,74,241.00",2.19%
1990,"$3,20,97,90,26,420.00","$4,65,24,28,41,651.00",2.24%
1989,"$2,96,04,20,52,945.00","$4,40,84,86,80,238.00",2.26%
1988,"$2,96,58,96,70,896.00","$4,16,10,16,84,468.00",2.28%
1987,"$2,79,03,35,84,092.00","$3,79,55,86,05,843.00",2.31%
1986,"$2,48,98,59,94,041.00","$3,65,08,18,13,580.00",2.34%
1985,"$2,32,51,15,54,840.00","$3,48,43,84,28,451.00",2.35%
1984,"$2,12,15,76,45,178.00","$3,31,04,43,66,854.00",2.37%
1983,"$2,18,26,21,46,413.00","$3,18,86,15,04,638.00",2.37%
1982,"$2,00,71,56,24,831.00","$2,97,19,89,88,652.00",2.36%
1981,"$1,93,49,13,68,446.00","$2,87,21,61,22,414.00",2.38%
1980,"$1,86,32,85,79,302.00","$2,70,94,27,49,193.00",2.41%
1979,"$1,52,99,54,42,498.00","$2,53,84,42,53,330.00",2.35%
1978,"$1,37,30,23,19,829.00","$2,67,87,60,92,471.00",2.33%
1977,"$1,21,48,66,41,441.00","$2,53,40,05,07,184.00",2.39%
1976,"$1,02,71,64,51,980.00","$2,36,26,03,73,292.00",2.38%
1975,"$98,47,38,32,017.00","$2,32,39,53,96,993.00",2.39%
1974,"$99,52,65,97,934.00","$2,12,91,39,57,239.00",2.33%
1973,"$85,51,76,73,173.00","$2,10,41,97,75,343.00",2.28%
1972,"$71,46,47,00,667.00","$2,03,70,65,81,883.00",2.22%
1971,"$67,35,14,04,352.00","$2,04,83,99,64,092.00",2.24%
1970,"$62,42,24,83,055.00","$2,01,52,89,83,195.00",2.24%
1969,"$58,44,79,95,017.00","$1,91,64,53,90,147.00",2.14%
1968,"$53,08,54,55,871.00","$1,79,88,16,68,161.00",2.17%
1967,"$50,13,49,42,204.00","$1,73,98,71,08,161.00",2.17%
1966,"$45,58,12,30,504.00","$1,61,35,91,97,054.00",2.16%
1965,"$59,55,61,05,229.00","$1,61,44,85,24,536.00",2.28%
1964,"$56,48,02,89,941.00","$1,65,81,91,35,753.00",2.37%
1963,"$48,42,19,23,459.00","$1,54,31,78,99,661.00",2.37%
1962,"$42,16,14,81,858.00","$1,45,59,06,79,988.00",2.4%
1961,"$39,23,24,35,784.00","$1,41,44,47,53,583.00",2.43%
1960,"$37,02,98,83,876.00","$1,36,36,81,19,594.00",2.4%
